transaction_id,date,day_of_week,hour,product,category,quantity,unit_price,total,payment_method
TX00252,2024-01-04,Thursday,10,Sandwich,Food,2,130,260,Card
TX00253,2024-01-04,Thursday,18,Sandwich,Food,1,130,130,Card
TX00254,2024-01-04,Thursday,20,Espresso,Coffee,1,65,65,Card
TX00255,2024-01-04,Thursday,20,Sandwich,Food,2,130,260,Card
TX00256,2024-01-04,Thursday,20,Croissant,Pastry,1,75,75,Cash
TX00257,2024-01-04,Thursday,8,Black Tea,Tea,1,35,35,Card
TX00258,2024-01-04,Thursday,8,Green Tea,Tea,1,45,45,Cash
TX00259,2024-01-04,Thursday,8,Cappuccino,Coffee,1,90,90,Cash
TX00260,2024-01-04,Thursday,11,Black Tea,Tea,2,35,70,Card
TX00261,2024-01-04,Thursday,10,Espresso,Coffee,2,65,130,Card
TX00262,2024-01-04,Thursday,20,Green Tea,Tea,2,45,90,Cash
TX00263,2024-01-04,Thursday,22,Black Tea,Tea,2,35,70,Card
TX00264,2024-01-04,Thursday,14,Cheesecake,Dessert,2,140,280,Mobile
TX00265,2024-01-04,Thursday,19,Green Tea,Tea,1,45,45,Cash
TX00266,2024-01-04,Thursday,10,Espresso,Coffee,1,65,65,Card
TX00267,2024-01-04,Thursday,11,Latte,Coffee,1,95,95,Card
TX00268,2024-01-04,Thursday,22,Green Tea,Tea,1,45,45,Cash
TX00269,2024-01-04,Thursday,10,Croissant,Pastry,2,75,150,Card
TX00270,2024-01-04,Thursday,13,Croissant,Pastry,2,75,150,Card
TX00271,2024-01-04,Thursday,17,Cappuccino,Coffee,3,90,270,Card
TX00272,2024-01-04,Thursday,21,Cheesecake,Dessert,1,140,140,Card
TX00273,2024-01-04,Thursday,10,Latte,Coffee,1,95,95,Card
TX00274,2024-01-04,Thursday,19,Black Tea,Tea,1,35,35,Mobile
TX00275,2024-01-04,Thursday,20,Sandwich,Food,3,130,390,Card
TX00276,2024-01-04,Thursday,13,Brownie,Dessert,1,110,110,Card
TX00277,2024-01-04,Thursday,19,Cappuccino,Coffee,1,90,90,Card
TX00278,2024-01-04,Thursday,17,Cheesecake,Dessert,1,140,140,Mobile
TX00279,2024-01-04,Thursday,11,Espresso,Coffee,2,65,130,Mobile
TX00280,2024-01-04,Thursday,20,Croissant,Pastry,1,75,75,Card
TX00281,2024-01-04,Thursday,9,Cappuccino,Coffee,1,90,90,Card
TX00282,2024-01-04,Thursday,18,Green Tea,Tea,1,45,45,Card
TX00283,2024-01-04,Thursday,18,Latte,Coffee,2,95,190,Card
TX00284,2024-01-04,Thursday,14,Green Tea,Tea,2,45,90,Card
TX00285,2024-01-04,Thursday,18,Cheesecake,Dessert,1,140,140,Mobile
TX00286,2024-01-04,Thursday,19,Cheesecake,Dessert,2,140,280,Cash
TX00287,2024-01-04,Thursday,18,Croissant,Pastry,1,75,75,Cash
TX00288,2024-01-04,Thursday,17,Brownie,Dessert,1,110,110,Mobile
TX00289,2024-01-04,Thursday,20,Espresso,Coffee,2,65,130,Card
TX00290,2024-01-04,Thursday,12,Brownie,Dessert,1,110,110,Cash
TX00291,2024-01-04,Thursday,19,Green Tea,Tea,1,45,45,Card
TX00292,2024-01-04,Thursday,17,Sandwich,Food,1,130,130,Card
TX00293,2024-01-04,Thursday,17,Cheesecake,Dessert,2,140,280,Card
TX00294,2024-01-04,Thursday,19,Cheesecake,Dessert,2,140,280,Card
TX00295,2024-01-04,Thursday,17,Sandwich,Food,1,130,130,Mobile
TX00296,2024-01-04,Thursday,18,Espresso,Coffee,1,65,65,Cash
TX00297,2024-01-04,Thursday,8,Filter Coffee,Coffee,1,70,70,Cash
TX00298,2024-01-04,Thursday,8,Croissant,Pastry,3,75,225,Mobile
TX00299,2024-01-05,Friday,19,Espresso,Coffee,1,65,65,Card
TX00300,2024-01-05,Friday,14,Brownie,Dessert,1,110,110,Card
TX00301,2024-01-05,Friday,11,Sandwich,Food,1,130,130,Card
TX00302,2024-01-05,Friday,9,Croissant,Pastry,1,75,75,Card
TX00303,2024-01-05,Friday,9,Green Tea,Tea,1,45,45,Card
TX00304,2024-01-05,Friday,21,Latte,Coffee,1,95,95,Mobile
TX00305,2024-01-05,Friday,13,Cheesecake,Dessert,1,140,140,Card
TX00306,2024-01-05,Friday,22,Black Tea,Tea,2,35,70,Card
TX00307,2024-01-05,Friday,10,Espresso,Coffee,1,65,65,Card
TX00308,2024-01-05,Friday,20,Green Tea,Tea,2,45,90,Card
TX00309,2024-01-05,Friday,20,Brownie,Dessert,2,110,220,Cash
TX00310,2024-01-05,Friday,19,Cheesecake,Dessert,1,140,140,Card
TX00311,2024-01-05,Friday,20,Cheesecake,Dessert,2,140,280,Card
TX00312,2024-01-05,Friday,9,Espresso,Coffee,1,65,65,Card
TX00313,2024-01-05,Friday,10,Filter Coffee,Coffee,1,70,70,Card
TX00314,2024-01-05,Friday,11,Croissant,Pastry,1,75,75,Card
TX00315,2024-01-05,Friday,8,Espresso,Coffee,1,65,65,Card
TX00316,2024-01-05,Friday,17,Filter Coffee,Coffee,1,70,70,Cash
TX00317,2024-01-05,Friday,19,Espresso,Coffee,1,65,65,Card
TX00318,2024-01-05,Friday,10,Sandwich,Food,1,130,130,Card
TX00319,2024-01-05,Friday,17,Brownie,Dessert,1,110,110,Card
TX00320,2024-01-05,Friday,12,Green Tea,Tea,1,45,45,Card
TX00321,2024-01-05,Friday,8,Espresso,Coffee,1,65,65,Card
TX00322,2024-01-05,Friday,16,Cheesecake,Dessert,2,140,280,Card
TX00323,2024-01-05,Friday,9,Espresso,Coffee,1,65,65,Cash
TX00324,2024-01-05,Friday,8,Croissant,Pastry,1,75,75,Card
TX00325,2024-01-05,Friday,18,Croissant,Pastry,1,75,75,Cash
TX00326,2024-01-05,Friday,12,Croissant,Pastry,1,75,75,Mobile
TX00327,2024-01-05,Friday,15,Croissant,Pastry,1,75,75,Cash
TX00328,2024-01-05,Friday,14,Brownie,Dessert,1,110,110,Card
TX00329,2024-01-05,Friday,10,Latte,Coffee,2,95,190,Card
TX00330,2024-01-05,Friday,21,Black Tea,Tea,1,35,35,Cash
TX00331,2024-01-05,Friday,18,Green Tea,Tea,1,45,45,Cash
TX00332,2024-01-05,Friday,10,Sandwich,Food,3,130,390,Cash
TX00333,2024-01-05,Friday,10,Green Tea,Tea,1,45,45,Card
TX00334,2024-01-05,Friday,10,Filter Coffee,Coffee,2,70,140,Cash
TX00335,2024-01-05,Friday,19,Green Tea,Tea,1,45,45,Card
TX00336,2024-01-05,Friday,22,Espresso,Coffee,2,65,130,Card
TX00337,2024-01-05,Friday,13,Brownie,Dessert,1,110,110,Mobile
TX00338,2024-01-05,Friday,20,Green Tea,Tea,1,45,45,Card
TX00339,2024-01-05,Friday,20,Cappuccino,Coffee,1,90,90,Cash
TX00340,2024-01-05,Friday,19,Latte,Coffee,1,95,95,Mobile
TX00341,2024-01-05,Friday,9,Latte,Coffee,3,95,285,Card
TX00342,2024-01-05,Friday,20,Green Tea,Tea,1,45,45,Mobile
TX00343,2024-01-05,Friday,13,Green Tea,Tea,1,45,45,Card
TX00344,2024-01-05,Friday,9,Cappuccino,Coffee,2,90,180,Card
TX00345,2024-01-05,Friday,18,Black Tea,Tea,2,35,70,Card
TX00346,2024-01-05,Friday,21,Green Tea,Tea,1,45,45,Card
TX00347,2024-01-05,Friday,9,Filter Coffee,Coffee,1,70,70,Cash
TX00348,2024-01-05,Friday,13,Cappuccino,Coffee,1,90,90,Cash
TX00349,2024-01-05,Friday,9,Latte,Coffee,1,95,95,Cash
TX00350,2024-01-05,Friday,18,Green Tea,Tea,2,45,90,Cash
TX00351,2024-01-05,Friday,17,Croissant,Pastry,1,75,75,Card
TX00352,2024-01-05,Friday,11,Espresso,Coffee,1,65,65,Mobile
TX00353,2024-01-05,Friday,8,Espresso,Coffee,1,65,65,Mobile
TX00354,2024-01-05,Friday,11,Filter Coffee,Coffee,1,70,70,Card
TX00355,2024-01-05,Friday,22,Sandwich,Food,1,130,130,Mobile
TX00356,2024-01-05,Friday,18,Croissant,Pastry,1,75,75,Card
